AnnualIncome,CreditScore,LoanAmount,MonthlyDebtPayments,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,RiskScore,LoanApproved
81554,509,35101,519,3233,1955,84421,14641,49.0,0
26567,612,17339,194,2738,512,55729,81589,48.0,0
33569,596,37172,212,2103,12534,56452,23346,52.0,0
94238,608,15917,203,3382,7940,54668,13137,44.0,1
45145,587,11431,879,7060,2678,119670,26515,40.0,1
70881,597,34590,324,2050,1136,3628,21804,50.0,0
105240,656,13937,391,1960,2516,62442,28628,55.0,0
63709,517,22221,623,3930,136,80888,12851,57.0,0
31713,487,38865,314,395,231,49718,43113,64.0,0
29900,536,23396,589,470,2353,23801,36682,54.0,0
87673,608,10667,725,1134,551,71561,5492,43.2,1
55454,565,35551,1206,4159,1098,33268,27329,61.0,0
40722,558,31637,269,9140,398,141270,20184,47.0,0
76571,680,34173,407,2220,3117,78008,5915,46.0,0
22901,525,18493,288,3120,3491,99630,10098,53.0,0
49421,609,17161,438,10050,1546,17627,40586,51.0,0
43507,611,31845,544,1192,5407,30751,34764,60.0,0
41402,572,25900,419,9920,6772,36312,37402,50.0,0
37405,626,15770,442,14266,762,15028,29045,56.0,0
48399,564,19629,346,993,1120,91813,16583,51.0,0
44775,574,20270,228,3070,1348,31257,64801,51.0,0
125711,580,12133,543,16833,1592,18425,10411,40.8,1
15131,634,25599,351,2458,2915,73848,15145,59.0,0
73576,603,12055,491,1924,600,50167,59651,41.6,1
50345,602,18805,441,13605,785,50714,3537,52.0,0
56816,669,20719,288,8124,705,636666,14955,28.8,1
34588,621,18962,444,8955,256,89846,11153,52.0,0
55383,565,9093,419,6607,1948,13714,6183,40.0,1
65180,551,15086,323,562,1662,64928,61849,40.0,1
15000,523,13879,248,12973,290,27247,5651,56.0,0
149736,560,27917,604,3003,2256,290530,10999,37.6,1
42717,585,41561,326,489,759,48731,10782,53.0,0
66417,590,9493,408,2012,1060,112110,24837,40.0,1
22121,602,18805,250,667,2669,63386,7364,47.0,0
37558,620,18686,278,4575,1163,9316,17652,49.0,0
134691,621,16421,607,1619,306,48831,27992,40.0,1
33101,539,29824,358,2548,1004,220116,8784,46.0,0
44364,439,5538,313,2471,764,203672,8223,40.8,1
38596,499,13078,292,1121,1118,40099,121827,60.0,0
139954,439,40858,293,427,1429,51633,5937,56.0,0
53444,521,16462,730,4608,638,44150,32195,55.0,0
113523,643,10990,427,4279,2107,130005,17536,35.2,1
31270,581,6624,151,2857,478,78348,31210,58.0,0
46717,520,20915,616,1085,2885,8920,11975,57.0,0
56613,564,25148,340,4138,1730,226679,47469,56.0,0
86882,612,51374,380,10374,565,45230,263937,47.0,0
69876,598,17992,545,915,506,19626,7056,51.0,0
32582,513,26598,231,288,1263,32463,10978,55.0,0
101562,612,30836,323,7528,378,62262,36152,54.0,0
24611,548,21110,489,10586,1352,190056,20979,54.0,0
22390,594,17603,389,612,293,24284,46780,55.0,0
47430,605,32684,377,673,505,57941,32526,50.0,0
57105,500,24760,168,2593,129,12750,12673,53.0,0
28751,536,30150,343,8298,2785,33961,20305,59.0,0
43567,547,17390,308,12906,4746,131041,11319,48.0,0
20113,575,27214,347,4698,1891,99134,46478,60.0,0
52633,682,13197,347,4853,730,51962,68554,59.0,0
93617,557,10868,826,3489,357,79807,54410,43.2,1
34276,574,5163,365,3141,42,38198,5950,51.0,0
25819,587,12824,103,1622,1914,63582,13848,61.0,0
72220,546,11336,533,1517,1581,125642,21847,36.0,1
30032,594,5789,148,1632,524,87958,20361,61.0,0
259639,545,39203,189,21809,322,22131,31385,40.8,1
58238,628,15647,770,8060,2519,52153,9039,64.0,0
91953,618,21715,264,2879,4094,33213,16233,45.6,1
22237,609,33644,816,1967,2124,64119,23197,54.0,0
74085,653,36208,375,2043,15912,70652,75471,52.0,0
33370,633,18943,545,966,1022,92153,124204,54.0,0
36562,553,38934,782,636,1405,2612797,9589,42.400000000000006,1
25658,583,6423,374,2411,480,73838,16061,51.0,0
75095,590,11657,182,1570,510,61242,19771,66.0,0
50657,591,20536,638,20114,475,124093,16677,46.0,0
48707,582,9741,558,2817,337,118511,49436,50.0,0
99138,524,23007,472,2596,152,10777,42553,40.8,1
48280,581,40424,340,3207,4229,102225,18198,51.0,0
88064,568,24156,382,7110,252,161014,25181,36.8,1
177855,625,17289,280,3966,947,100795,5297,38.400000000000006,1
55440,614,31937,497,958,1312,32453,11335,50.0,0
44377,558,11938,215,2782,1457,59951,7527,40.0,1
115677,511,27962,364,1314,3522,89023,36001,54.0,0
163133,654,13145,210,687,411,85222,23228,32.800000000000004,1
51989,517,26850,351,1462,391,54547,10095,58.0,0
28941,612,15007,112,1934,2041,133058,88914,57.0,0
117455,652,19372,697,3583,11199,288436,9076,44.8,1
68157,565,15091,394,4080,422,12695,66526,40.0,1
117456,579,17310,451,1689,949,31979,20558,39.2,1
84230,579,61376,565,922,542,29842,14843,56.0,0
47910,515,25068,447,3131,2447,68899,11745,48.0,0
37709,557,27440,435,1785,543,9716,16781,65.0,0
73625,540,12927,182,1176,1252,159098,20357,58.0,0
19757,592,17292,385,3053,1330,44477,106504,53.0,0
111020,498,23552,496,2429,1167,43095,13083,44.0,1
54202,553,12176,292,4326,727,39483,98490,65.0,0
36184,620,38807,210,2111,611,68351,27576,53.0,0
56320,603,21883,653,2478,1449,326068,11532,32.0,1
111257,487,18609,525,1370,300,24626,30649,40.0,1
55172,606,40220,317,14454,1521,82416,8200,55.0,0
29020,583,16570,158,713,862,22214,10612,55.0,0
19990,564,11236,511,1477,5786,100659,7602,53.0,0
196442,600,25519,326,4763,4810,9573,128864,40.8,1
21725,630,38766,206,2332,494,90534,37492,52.0,0
49098,472,31990,352,11754,2781,22172,20084,57.0,0
33061,640,11580,384,9144,801,144771,65760,39.2,1
91077,550,37597,917,3363,431,17299,34929,51.0,0
17270,593,28352,858,24249,1912,38825,12998,54.0,0
137635,622,12414,285,1133,4015,13939,5554,40.8,1
44523,613,12648,90,2266,1008,25164,36282,56.0,0
40998,576,29172,463,2493,1858,16901,30888,58.0,0
49839,558,34869,565,15200,651,15851,29182,65.0,0
48462,656,29111,477,3972,2076,45290,66211,47.0,0
37268,535,26549,504,652,2447,29282,10542,56.0,0
85512,628,20367,338,2369,1188,149155,52247,39.2,1
16619,617,22186,236,10910,2098,54770,43575,49.0,0
30548,490,22280,920,1701,2417,21711,29011,52.0,0
108416,604,60460,292,48211,772,67394,5965,47.0,0
56255,571,14526,573,23933,658,366111,44654,36.8,1
35795,510,18086,239,1038,4134,165933,34105,52.0,0
20882,566,23838,671,2011,536,144098,56021,51.0,0
21573,522,12419,194,2935,229,51753,3910,59.0,0
86157,535,16775,370,3368,4485,106697,33353,40.8,1
29708,626,44904,631,1303,5039,98472,15326,50.0,0
77920,578,20677,1093,6127,2578,36486,94587,56.0,0
35187,574,82538,572,7826,502,24320,13229,59.0,0
53299,544,36261,630,3678,1968,175920,10093,54.0,0
54605,614,12604,462,5395,399,13039,59277,40.0,1
36754,505,36455,674,3055,5057,138955,21422,51.0,0
37426,601,38810,153,6120,1145,171618,1466,47.0,0
29512,545,28201,455,2290,5251,24830,65744,53.0,0
34589,445,91631,285,1428,1002,72147,55009,52.0,0
56584,615,15122,115,6834,1269,122221,6443,40.8,1
32777,537,27822,392,4771,4937,120149,5740,55.0,0
70901,575,20087,582,12504,522,43108,19402,61.0,0
52184,574,38284,356,7697,4696,135135,52369,53.0,0
43451,506,9077,564,1218,7400,58686,11575,56.0,0
23881,599,17067,678,22121,3206,38426,91806,57.0,0
44248,550,21565,499,41840,1886,70635,20206,54.0,0
15885,551,35284,264,2316,3975,302488,23662,54.0,0
39637,599,28863,337,823,554,197025,22402,50.0,0
48777,549,32798,176,1382,446,100090,30965,55.0,0
43208,564,13574,361,2108,678,23314,73184,59.0,0
18662,544,28715,511,3730,149,94880,7676,56.0,0
42209,582,29658,395,794,524,116610,14222,54.0,0
99222,450,44563,281,8172,1353,20670,6849,51.0,0
27279,634,14474,590,1524,5782,117515,46510,46.0,0
15000,603,33259,253,2500,627,125998,47479,53.0,0
75376,610,20920,448,1654,860,5522,12731,70.0,0
25096,602,9999,312,4662,1263,146709,21671,56.0,0
34817,606,36726,570,3099,669,46874,110774,54.0,0
68306,583,25261,441,2656,298,24326,20178,60.0,0
58991,587,14635,248,5121,838,45657,53110,40.8,1
92237,622,29532,417,1961,1088,143116,99055,51.0,0
52241,628,25118,1434,917,645,18952,37802,48.0,0
66407,579,44037,235,2825,1628,43020,11353,54.0,0
20071,565,12684,484,6135,440,93068,38320,51.0,0
69356,589,18957,530,1945,769,9667,61996,59.0,0
31043,536,13424,852,2254,1243,52754,10360,56.0,0
300000,509,18698,1099,8564,5654,239980,27790,42.400000000000006,1
34233,599,26572,189,987,95,19661,15644,56.0,0
81867,632,35991,390,1014,1142,24707,4629,48.0,0
79592,583,17337,290,1256,1395,390370,36001,51.2,1
45466,589,31671,256,3160,709,295715,36072,74.0,0
75932,530,29901,350,4763,329,228464,157337,47.0,0
160729,555,22942,179,4814,1667,58602,10820,42.400000000000006,1
29349,570,31897,389,11187,1186,56865,54858,54.0,0
15000,575,16449,195,587,1172,69490,143736,52.0,0
22698,630,7604,165,3441,681,121192,18803,50.0,0
117989,610,21413,642,2737,303,65900,15765,48.8,1
28842,462,23503,255,2048,1157,37410,12303,55.0,0
197755,589,23464,310,1533,1145,15161,45400,41.6,1
80502,588,51696,430,4479,253,25948,87065,51.0,0
26541,617,28122,410,3388,79,117767,50710,46.0,0
19683,578,16797,339,1128,1296,17621,28738,57.0,0
45788,635,31589,86,12430,3377,99320,75842,52.0,0
16070,562,27411,371,1321,1003,108513,4811,56.0,0
42043,521,28140,470,2373,6029,13431,47593,51.0,0
90083,581,27462,433,1362,596,72026,43396,43.2,1
28481,632,12820,412,2701,3032,13578,6641,57.0,0
16274,597,15725,503,3453,1134,317610,19193,57.0,0
25192,560,21634,480,5336,2204,143091,57162,54.0,0
78101,526,14215,345,3210,212,28446,8541,49.0,0
73312,561,41720,160,2477,1062,75346,19872,58.0,0
72434,613,10034,839,15952,207,36020,29176,37.6,1
160132,634,21320,474,1426,422,30016,80918,36.0,1
15000,534,19820,497,2582,994,61743,14099,54.0,0
49341,631,33548,487,4896,923,81454,42926,51.0,0
47185,531,18490,231,26725,2057,28782,11470,59.0,0
107659,607,19552,399,718,3367,159378,12852,36.0,1
179664,589,21380,542,20058,1045,50021,51416,42.400000000000006,1
81136,575,15763,395,4825,1917,99623,149347,42.400000000000006,1
86245,445,17018,581,2432,722,22024,25797,39.2,1
98074,620,16112,495,6384,1472,33453,43942,44.0,1
23559,598,52609,425,924,1543,23710,8274,60.0,0
39808,619,18027,365,6266,1722,40123,10880,39.2,1
18856,580,16282,355,8849,4164,71576,29120,51.0,0
101388,642,22076,209,10960,874,71923,9400,40.8,1
80085,530,21534,790,899,912,96053,35862,40.8,1
22787,627,20061,328,3563,2273,109630,150658,51.0,0
30579,571,53420,533,2158,380,19003,7544,59.0,0
15004,583,44032,675,1308,1581,28871,55539,52.0,0
49936,492,30787,480,20264,338,1138334,21651,38.400000000000006,1
26960,603,12517,454,14928,3283,82498,34140,52.0,0
18391,552,9769,423,1101,2000,33399,1830,55.0,0
51404,563,9446,191,4899,2393,77301,40986,55.0,0
175236,482,27512,461,14151,262,270652,70745,41.6,1
101044,615,15696,247,5732,943,86766,29039,39.2,1
40358,619,10669,367,2366,529,66332,6591,52.0,0
63122,656,18914,373,975,893,49916,6340,50.0,0
140216,617,13335,411,6819,1304,43330,115451,40.0,1
120353,511,24013,624,1280,957,22872,42977,48.0,0
41312,545,36289,850,3994,520,84698,14701,60.0,0
57679,403,18371,1535,2748,515,39359,11556,56.0,0
35808,611,53571,268,1099,790,100845,38596,48.0,0
61971,494,24754,879,965,359,103736,3795,54.0,0
76040,600,37175,268,3744,106,128333,103786,44.0,1
89794,582,32141,459,432,1944,281669,26067,38.400000000000006,1
36971,611,29198,293,2250,666,11131,7166,47.0,0
92250,498,36697,546,2542,2870,57738,14788,49.0,0
51610,476,19238,193,1200,6702,198224,44503,48.0,0
37703,467,8927,287,3812,1290,466949,11555,45.0,0
141114,544,25539,297,5958,8004,32142,4438,40.0,1
34960,545,36928,721,23215,289,39792,38466,56.0,0
28900,599,17636,603,2950,1809,64485,5287,63.0,0
27888,530,25677,777,3254,115,61835,14281,58.0,0
75116,610,6549,267,2150,914,20489,58924,60.0,0
19399,546,32442,133,1713,7180,44361,44451,55.0,0
62204,380,14467,243,2205,432,203821,14663,54.0,0
28908,589,8569,434,8040,2065,68774,227607,51.0,0
46181,585,32753,374,2437,643,209751,90750,59.0,0
190649,599,19937,685,12872,3287,19491,6239,42.400000000000006,1
25914,438,25725,305,3581,700,49934,46267,65.0,0
15778,549,27129,790,584,328,47152,155919,67.0,0
103112,610,36161,466,4669,289,31789,20308,52.0,0
25013,563,29653,136,4186,303,65301,28925,61.0,0
26923,510,17955,1307,6987,3033,73115,26009,53.0,0
74246,583,26795,349,5625,494,111694,7718,49.0,0
87561,591,34138,410,292,120,42766,9396,60.0,0
15000,498,5936,298,1815,3157,175586,12525,55.0,0
64483,525,17279,177,8642,5221,203499,44720,48.0,0
66790,596,15671,558,4065,1779,90708,66997,65.0,0
139115,548,10610,319,1950,1302,153480,15383,38.400000000000006,1
23058,618,63485,432,10250,1380,25986,24121,54.0,0
67760,542,48408,413,38858,1080,112182,21085,59.0,0
31104,476,13149,655,15006,1172,36128,5869,59.0,0
82323,526,8350,408,9421,1334,289047,23465,35.2,1
27943,530,13164,479,3527,110,132827,25983,65.0,0
37699,487,29471,355,2367,538,67092,11274,49.0,0
55160,566,19802,809,2491,2251,18277,10779,50.0,0
81109,465,46928,352,3308,1571,183773,4190,45.0,0
65622,431,35136,342,8234,138,14679,53780,55.0,0
86286,589,9686,687,3645,571,357294,67529,33.6,1
46001,476,55889,239,5012,437,18356,75930,50.0,0
192941,663,8954,430,4152,257,68953,19450,44.0,1
62852,609,51450,390,7822,571,71768,23421,49.0,0
35591,559,10270,533,935,921,54814,56231,60.0,0
74123,465,11531,185,2204,73,19372,23124,42.400000000000006,1
59387,544,18400,720,5790,545,32190,4819,55.0,0
19530,533,16936,643,7280,1233,90564,11153,50.0,0
64412,584,20574,459,3468,381,25288,179431,50.0,0
25619,511,13628,435,2991,948,39674,14261,54.0,0
22019,545,10094,175,2444,5271,27005,5841,54.0,0
34332,598,34356,617,1411,3152,97165,17006,64.0,0
46693,650,30185,288,27102,1073,1447011,28452,39.2,1
34274,577,13000,265,3974,1019,34668,14445,45.6,1
37382,577,61563,280,1661,478,277777,9042,52.0,0
15248,515,19403,212,3845,292,30509,40003,57.0,0
39345,601,17206,357,16757,2328,63640,44716,53.0,0
20078,611,23166,282,4448,2127,58499,10295,53.0,0
162439,606,21107,639,892,975,57327,25861,44.0,1
41973,650,21299,490,6975,1209,102275,124307,54.0,0
52828,652,26629,268,1393,748,188775,35689,40.0,0
78355,640,12575,454,9154,1165,582738,51952,33.6,1
126823,460,21640,429,12681,2976,15657,7751,68.0,0
34903,535,54146,295,6496,603,116848,43380,54.0,0
87835,632,16563,310,1365,436,32947,12571,40.8,1
94430,591,17300,329,1469,204,12007,30138,42.400000000000006,1
58410,618,33096,187,2358,210,59893,12503,52.0,0
59113,615,15411,1408,3532,1047,80555,2437,55.0,0
45271,568,20946,384,7825,1417,35166,35863,59.0,0
47088,475,22865,489,7611,1079,152278,56712,53.0,0
39186,544,15937,495,4190,4018,152259,10213,58.0,0
35052,506,14359,516,3494,171,178279,1516,50.0,0
77345,589,29198,1014,1197,1034,62263,14168,52.0,0
23423,570,52430,215,5012,4126,222980,23859,53.0,0
74922,576,15354,672,1334,1002,38478,24807,40.0,1
119257,521,49386,425,1524,4180,160193,176809,55.0,0
62019,599,24378,257,3482,1101,670349,7167,33.6,1
15132,551,12154,195,3959,1311,26658,173022,56.0,0
98825,663,12862,90,1215,1239,4971,53232,38.400000000000006,1
35954,603,21732,503,5430,1385,22133,42978,54.0,0
27379,557,42959,817,13305,2213,196337,9239,47.0,0
40688,550,22853,145,4947,3518,62255,35939,60.0,0
93411,551,23157,499,3177,1007,4184,7492,46.400000000000006,1
21210,572,23434,385,519,446,31696,10550,54.0,0
55593,643,23776,860,224,51,62353,5221,46.0,0
184838,569,31331,369,2826,1413,27794,11692,40.8,1
27349,484,47668,396,42091,1261,153976,26773,57.0,0
33191,576,19786,523,1166,6425,595464,6806,47.0,0
24858,536,6505,827,10324,1064,157789,41509,51.0,0
86622,627,23891,338,2082,1579,110529,33445,62.0,0
31769,526,26082,568,1607,1652,12682,7411,58.0,0
15000,542,17597,347,21806,2838,24644,4478,54.0,0
83854,597,29295,546,18797,1275,25640,70511,40.8,1
61340,617,24442,174,1887,2293,49705,6824,46.0,0
29436,561,48570,286,5928,1842,18180,4725,57.0,0
40420,607,46281,434,4169,3015,19441,27821,54.0,0
25328,567,18232,356,1735,7943,26445,16616,59.0,0
86106,566,25057,385,14175,476,53626,14841,41.6,1
49168,617,16722,315,663,1650,100987,54061,54.0,0
24075,506,23360,473,5529,514,58320,20984,64.0,0
27464,513,8521,269,3550,3172,49313,11764,57.0,0
34814,615,16517,387,4328,1799,15120,7116,49.0,0
23563,617,66228,362,2831,2332,72333,4726,57.0,0
88618,580,16561,662,4620,4613,13507,24718,56.0,0
123514,632,18885,612,2215,2437,17771,10230,49.0,0
44674,574,31311,538,1576,207,63680,40187,53.0,0
34622,588,19939,240,2785,222,119926,9842,52.0,0
27715,589,18879,764,2171,429,15121,212538,54.0,0
42964,546,16100,157,1152,1149,81363,38761,56.0,0
87263,575,21495,242,651,227,127193,26600,35.2,1
81906,456,78598,447,4418,343,64751,4292,54.0,0
36477,577,28510,210,313,607,108038,28726,52.0,0
21728,643,19845,191,2296,377,37853,8810,49.0,0
33297,605,15328,1074,7756,1167,69486,95830,49.0,0
67500,589,26327,301,481,2430,78608,35775,52.0,0
50147,560,15944,308,6750,327,45862,69335,68.0,0
92706,627,15372,304,1741,779,19927,11032,38.400000000000006,1
27792,550,33448,575,4679,1151,39139,28880,55.0,0
116551,558,26501,340,6369,1211,83685,27575,44.8,1
25587,630,25204,180,1454,2030,61945,109774,52.0,0
15000,476,28630,714,10667,919,18427,49046,52.0,0
79101,506,84286,486,1847,1969,173560,3131,51.0,0
25700,486,49903,251,12901,294,54958,63824,55.0,0
44241,606,17042,763,1945,727,102813,9353,48.0,0
47722,584,17873,226,469,5474,28368,29588,57.0,0
53571,519,36976,248,2430,759,130584,21078,49.0,0
44449,565,65164,435,3765,683,16755,34529,73.0,0
30590,546,12136,265,3190,655,37086,67348,51.0,0
29273,553,18202,527,7388,1231,17350,14899,64.0,0
57523,537,31208,915,12741,8018,33479,26590,54.0,0
66712,609,23884,508,2756,4247,163785,60439,55.0,0
55812,612,4719,563,1292,632,83237,10129,36.8,1
30031,614,42094,855,393,1430,8021,8884,51.0,0
63559,571,20750,223,2063,3704,58927,23404,55.0,0
23447,492,10926,712,2330,3474,13239,7876,58.0,0
102472,438,27374,267,1091,1320,189263,52751,39.2,1
74805,654,19134,558,2493,1262,133054,8416,38.400000000000006,1
48486,563,8041,1048,4040,1320,137775,8380,50.0,0
65027,539,40657,590,2022,1001,41102,8982,57.0,0
75623,589,23836,512,6442,1325,51517,24300,53.0,0
44874,545,25345,202,2331,524,42013,10856,51.0,0
15000,549,22964,473,4629,314,32744,36021,60.0,0
65457,555,34179,143,4547,21428,25975,50901,49.0,0
106388,518,30056,491,1153,1517,48469,28918,57.0,0
35651,593,17867,393,4323,5346,75475,12617,62.0,0
80427,572,24396,635,1103,474,31203,78542,53.0,0
86748,513,18720,146,182,266,61498,12825,38.400000000000006,1
52825,572,14135,549,1063,584,86220,33289,39.2,1
61983,635,13913,305,2348,2309,87268,39242,42.400000000000006,1
58110,524,30085,404,1457,6251,54508,15910,58.0,0
50974,540,48218,700,1740,7853,73549,40494,55.0,0
170399,664,24628,506,6561,1789,30978,41108,36.8,1
97910,649,7644,371,1116,1259,12146,3612,37.6,1
55181,514,33613,652,6517,1493,27674,17742,61.0,0
84242,603,24333,242,6648,877,12001,93983,47.0,0
80819,551,21992,334,17139,764,203305,18480,50.0,0
15781,596,14557,433,1415,4928,120156,37927,54.0,0
42829,631,23539,240,2191,122,300830,12900,50.0,0
38114,627,33773,1427,1235,1895,21304,34214,56.0,0
64403,639,23505,212,1759,771,93661,7187,36.8,1
37192,618,78659,688,8580,213,34591,4410,53.0,0
58640,601,12911,562,1645,4010,26959,54570,67.0,0
33339,578,12762,553,117,627,37234,12149,60.0,0
147047,580,13389,343,2865,1707,174940,46257,48.0,1
136707,644,23045,1158,1720,1511,58845,261099,37.6,1
21692,544,38885,336,7943,3620,54886,10609,51.0,0
54553,605,31023,333,6004,2042,55812,5230,63.0,0
55997,527,9698,720,1701,1489,21077,37865,42.400000000000006,1
52731,599,11577,520,1291,2015,259710,16775,41.6,1
91120,686,32018,428,3661,2003,168717,58023,30.4,1
32322,683,17681,969,2823,231,87614,6356,57.0,0
23183,600,20886,523,1467,503,55953,89600,51.0,0
35295,626,30630,557,5142,942,61420,47345,51.0,0
28624,591,22349,535,6059,1018,75653,89933,53.0,0
41957,633,10884,825,1303,1459,23190,13044,52.0,0
63120,485,13756,246,9151,2855,12006,49119,50.0,0
53408,611,24367,642,758,275,130580,1182,45.0,0
28323,614,31063,262,673,665,26021,47600,55.0,0
45153,589,25432,262,519,1044,53932,13566,51.0,0
15000,608,60859,800,4002,653,11220,29093,57.0,0
181497,569,19932,138,6788,1254,35406,49062,40.0,1
56490,609,13277,117,2078,1720,30063,7859,37.6,1
83062,588,22266,319,1354,4368,218663,10635,40.8,1
68350,629,10478,343,5274,266,49376,22825,40.0,1
37098,569,18782,402,893,13255,53168,41600,50.0,0
15000,638,18820,773,1661,1632,55061,9082,54.0,0
48160,573,55091,515,6088,3811,183656,134326,56.0,0
62186,563,16051,284,22487,1742,65028,47308,44.8,1
52719,614,12142,798,5361,157,121275,6166,45.0,0
